airline,positive_pct,neutral_pct,negative_pct,review_count,avg_sentiment
American Airlines,23.150816522574445,21.365674031380085,55.48350944604547,12492,-0.20678465417867434
Spirit Airlines,34.450580841744426,12.378594553418397,53.17082460483717,10502,-0.15547669015425633
United Airlines,41.73680562431924,11.486285770868403,46.776908604812355,10099,-0.024003990494108327
British Airways,40.058929028952086,26.300281834486295,33.64078913656162,7806,0.07921128619011017
Frontier Airlines,18.116900290928324,22.70563343030944,59.17746627876224,7562,-0.26652909283258397
Delta Air Lines,32.930897537728356,22.954725972994442,44.1143764892772,6295,-0.05093450357426529
Turkish Airlines,33.51518457901437,23.14966357519549,43.33515184579014,5499,-0.041590325513729764
Qatar Airways,60.315021129466,22.99270072992701,16.69227814060699,5206,0.3568718786016135
Lufthansa,41.810344827586206,25.039184952978054,33.15047021943573,5104,0.09969320141065831
Air Canada,30.851493139628733,24.79822437449556,44.35028248587571,4956,-0.06732294188861986
Emirates,40.926799261841296,27.619438179208526,31.453762558950178,4877,0.10690555669468937
Ryanair,32.23246836800343,28.522410465365645,39.24512116663092,4663,-0.021165622989491744
China Southern Airlines,70.26496565260058,19.455348380765454,10.279685966633954,4076,0.4535415112855741
Allegiant Air,22.573363431151243,27.06295460245799,50.36368196639077,3987,-0.1711627539503386
Southwest Airlines,32.888770338757,24.913310216057617,42.197919445185384,3749,-0.0342510002667378
Etihad Airways,30.50619278406031,26.790522347872916,42.703284868066774,3714,-0.0616131394722671
KLM Royal Dutch Airlines,44.12822049131216,24.08627920910725,31.785500299580587,3338,0.12579757339724387
Singapore Airlines,55.893074119076545,25.60753341433779,18.49939246658566,3292,0.31233809234507903
TAP Portugal,29.012738853503183,25.73248407643312,45.254777070063696,3140,-0.09350910828025479
easyJet,36.47819063004846,28.820678513731824,34.701130856219706,3095,0.04075786752827141
Wizz Air,24.257264120143653,23.53901403852432,52.203721841332026,3063,-0.17289578844270323
Air India,30.99516240497581,23.807878369039393,45.1969592259848,2894,-0.07864972356599861
Qantas Airways,47.44916161255797,17.37424188369604,35.17659650374599,2803,0.11845062433107385
